week_date,action,symbol,shares,execution_price,gross_value,transaction_cost,avg_cost_before,realized_pnl
2024-05-17,BUY,HINDPETRO,5.866225,505.05,2962.7368,2.9627,505.05,0.0
2024-05-17,BUY,BPCL,4.489605,629.0,2823.9615,2.824,629.0,0.0
2024-05-17,BUY,PFC,3.919946,465.95,1826.4988,1.8265,465.95,0.0
2024-05-17,BUY,MOTILALOFS,0.755892,2406.15,1818.7906,1.8188,2406.15,0.0
2024-05-17,BUY,SBIN,2.025654,821.0,1663.0621,1.6631,821.0,0.0
2024-05-17,BUY,BSE,0.540987,2794.25,1511.6524,1.5117,2794.25,0.0
2024-05-17,BUY,LTF,9.345032,160.2,1497.0741,1.4971,160.2,0.0
2024-05-17,BUY,APARINDS,0.184415,8053.25,1485.1415,1.4851,8053.25,0.0
2024-05-17,BUY,INDUSINDBK,1.012905,1417.3,1435.591,1.4356,1417.3,0.0
2024-05-17,BUY,AXISBANK,1.189852,1143.75,1360.8933,1.3609,1143.75,0.0
2024-05-17,BUY,TORNTPOWER,0.96892,1384.1,1341.0815,1.3411,1384.1,0.0
2024-05-17,BUY,PRESTIGE,0.837561,1600.2,1340.2645,1.3403,1600.2,0.0
2024-05-17,BUY,MUTHOOTFIN,0.773992,1703.4,1318.4172,1.3184,1703.4,0.0
2024-05-17,BUY,OFSS,0.168304,7787.85,1310.7302,1.3107,7787.85,0.0
2024-05-17,BUY,JINDALSTEL,1.258181,1016.65,1279.1296,1.2791,1016.65,0.0
2024-07-19,SELL,APARINDS,0.184415,8019.8,1478.9728,1.479,8053.25,-6.1687
2024-07-19,BUY,HINDPETRO,1.802906,341.65,615.9627,0.616,341.65,0.0
2024-07-19,BUY,BPCL,2.830991,303.8,860.0551,0.8601,303.8,0.0
2024-08-02,SELL,OFSS,0.168304,10389.6,1748.6164,1.7486,7787.85,437.8862
2024-08-02,BUY,HINDALCO,2.341147,648.05,1517.1801,1.5172,648.05,0.0
2024-08-09,SELL,BSE,0.540987,2650.5,1433.8856,1.4339,2794.25,-77.7669
2024-08-09,BUY,MAZDOCK,0.281708,4917.8,1385.3844,1.3854,4917.8,0.0
2024-08-30,SELL,MOTILALOFS,0.755892,720.1,544.3181,0.5443,2406.15,-1274.4724
2024-08-30,BUY,LICI,0.767498,1064.25,816.8094,0.8168,1064.25,0.0
2024-09-20,SELL,TORNTPOWER,0.96892,1902.05,1842.9334,1.8429,1384.1,501.8519
2024-09-20,SELL,PRESTIGE,0.837561,1878.9,1573.6927,1.5737,1600.2,233.4281
2024-09-20,BUY,LICI,0.733313,1010.35,740.9027,0.7409,1010.35,0.0
2024-09-20,BUY,GRASIM,0.49716,2678.25,1331.5185,1.3315,2678.25,0.0
2024-09-20,BUY,KOTAKBANK,0.668344,1904.5,1272.8606,1.2729,1904.5,0.0
2024-11-08,SELL,HINDPETRO,7.66913,383.05,2937.6604,2.9377,466.6369,-641.0391
2024-11-08,BUY,INDUSINDBK,0.598709,1053.8,630.9193,0.6309,1053.8,0.0
2024-11-08,BUY,BAJAJFINSV,0.7267,1739.75,1264.277,1.2643,1739.75,0.0
2024-11-08,BUY,GVT&D,0.650564,1692.55,1101.1125,1.1011,1692.55,0.0
2024-11-22,SELL,MAZDOCK,0.281708,3992.45,1124.7057,1.1247,4917.8,-260.6786
2024-11-22,BUY,ICICIBANK,0.878259,1278.05,1122.4585,1.1225,1278.05,0.0
2025-02-14,SELL,JINDALSTEL,1.258181,833.3,1048.4421,1.0484,1016.65,-230.6875
2025-02-14,SELL,GRASIM,0.49716,2431.3,1208.7449,1.2087,2678.25,-122.7736
2025-02-14,BUY,PFC,2.481667,371.3,921.4428,0.9214,371.3,0.0
2025-02-14,BUY,HINDPETRO,4.243909,312.35,1325.5851,1.3256,312.35,0.0
2025-04-11,SELL,GVT&D,0.650564,1333.45,867.4949,0.8675,1692.55,-233.6176
2025-04-11,BUY,M&MFIN,0.727358,1198.05,871.4109,0.8714,1198.05,0.0
2025-04-25,SELL,M&MFIN,0.727358,1211.3,881.0484,0.881,1198.05,9.6375
2025-04-25,BUY,RECLTD,2.082634,422.2,879.288,0.8793,422.2,0.0
2025-06-06,SELL,INDUSINDBK,1.611614,822.85,1326.1168,1.3261,1282.2611,-740.3935
2025-06-06,BUY,RECLTD,2.186277,415.0,907.305,0.9073,415.0,0.0
2025-08-08,SELL,LTF,9.345032,195.75,1829.29,1.8293,160.2,332.2159
2025-08-08,BUY,AIIL,0.704349,2843.6,2002.8877,2.0029,2843.6,0.0
2025-12-12,SELL,KOTAKBANK,0.668344,2176.6,1454.717,1.4547,1904.5,181.8563
2025-12-12,BUY,PFC,1.597325,344.2,549.7994,0.5498,344.2,0.0
2025-12-12,BUY,TMPV,3.283697,347.45,1140.9206,1.1409,347.45,0.0
2026-01-30,SELL,TMPV,3.283697,350.05,1149.4582,1.1495,347.45,8.5376
2026-01-30,BUY,LTF,4.006152,286.35,1147.1616,1.1472,286.35,0.0
2026-02-27,SELL,AIIL,0.704349,481.85,339.3907,0.3394,2843.6,-1663.497
