date,symbol,missing_field
2026-05-16,IDEA,roe
2026-05-16,TATASTEEL,roe
2026-05-16,UNITDSPR,roe
2026-05-16,HINDALCO,roe
2026-05-16,APOLLOTYRE,roe
2026-05-16,SAIL,roe
2026-05-16,GRASIM,roe
2026-05-16,BIOCON,roe
2026-05-16,ASHOKLEY,roe
2026-05-16,HUDCO,roe
2026-05-16,SUNPHARMA,roe
2026-05-16,POWERINDIA,roe
2026-05-16,SUZLON,roe
2026-05-16,BPCL,roe
2026-05-16,ONGC,roe
2026-05-16,IOC,roe
2026-05-16,MANKIND,roe
2026-05-16,BEL,roe
2026-05-16,ITC,roe
2026-05-16,MOTHERSON,roe
2026-05-16,NMDC,roe
2026-05-16,CUMMINSIND,roe
2026-05-16,DIVISLAB,roe
2026-05-16,COCHINSHIP,roe
2026-05-16,SOLARINDS,roe
2026-05-16,IDFCFIRSTB,roe
2026-05-16,POWERGRID,roe
2026-05-16,INDIGO,roe
2026-05-16,ZYDUSLIFE,roe
2026-05-16,IPCALAB,roe
2026-05-16,ENRIN,roe
2026-05-16,APOLLOHOSP,roe
2026-05-16,LENSKART,roe
2026-05-16,GODFRYPHLP,roe
2026-05-16,VBL,roe
2026-05-16,NTPC,roe
2026-05-16,EICHERMOT,roe
2026-05-16,RADICO,roe
2026-05-16,LICI,roe
2026-05-16,ABB,roe
2026-05-16,TORNTPHARM,roe
2026-05-16,TIINDIA,roe
2026-05-16,ENDURANCE,roe
2026-05-16,AUBANK,roe
2026-05-16,AUROPHARMA,roe
2026-05-16,MEDANTA,roe
2026-05-16,PATANJALI,roe
2026-05-16,BDL,roe
2026-05-16,GVT&D,roe
2026-05-16,IREDA,roe
2026-05-16,NYKAA,roe
2026-05-16,ASIANPAINT,roe
2026-05-16,RVNL,roe
2026-05-16,LGEINDIA,roe
2026-05-16,MAXHEALTH,roe
2026-05-16,PAGEIND,roe
2026-05-16,NAUKRI,roe
2026-05-16,APARINDS,roe
2026-05-16,BOSCHLTD,roe
2026-05-16,PIIND,roe
2026-05-16,FORTIS,roe
2026-05-16,NHPC,roe
2026-05-16,ASTRAL,roe
2026-05-16,ITCHOTELS,roe
2026-05-16,GLENMARK,roe
2026-05-16,JUBLFOOD,roe
2026-05-16,GMRAIRPORT,roe
2026-05-16,PREMIERENE,roe
2026-05-16,NTPCGREEN,roe
2026-05-16,UNOMINDA,roe
2026-05-16,UBL,roe
2026-05-16,GAIL,roe
2026-05-16,SJVN,roe
2026-05-16,GODREJIND,roe
2026-05-16,ALKEM,roe
2026-05-16,CONCOR,roe
2026-05-16,IRCTC,roe
2026-05-16,COLPAL,roe
2026-05-16,AIIL,roe
2026-05-16,ANTHEM,roe
2026-05-16,CRISIL,roe
2026-05-16,SHREECEM,roe
2026-05-16,KPRMILL,roe
2026-05-16,GLAXO,roe
2026-05-16,JKCEMENT,roe
2026-05-16,LINDEINDIA,roe
2026-05-16,HONAUT,roe
2026-05-16,BALKRISIND,roe
2026-05-16,SUNDARMFIN,roe
2026-05-16,FLUOROCHEM,roe
2026-05-16,AIAENG,roe
2026-05-16,3MINDIA,roe
